Timestamp,Gaze Direction,Attention State
20:18:46,CENTER,ATTENTIVE
20:18:46,CENTER,ATTENTIVE
20:18:46,CENTER,ATTENTIVE
20:18:46,CENTER,ATTENTIVE
20:18:46,CENTER,ATTENTIVE
20:18:46,CENTER,ATTENTIVE
20:18:46,CENTER,ATTENTIVE
20:18:46,CENTER,ATTENTIVE
20:18:46,CENTER,ATTENTIVE
20:18:46,LEFT,DISTRACTED
20:18:46,LEFT,DISTRACTED
20:18:46,CENTER,ATTENTIVE
20:18:46,LEFT,DISTRACTED
20:18:46,LEFT,DISTRACTED
20:18:47,CENTER,ATTENTIVE
20:18:47,CENTER,ATTENTIVE
20:18:47,CENTER,ATTENTIVE
20:18:47,CENTER,ATTENTIVE
20:18:47,LEFT,DISTRACTED
20:18:47,CENTER,ATTENTIVE
20:18:47,LEFT,DISTRACTED
20:18:47,LEFT,DISTRACTED
20:18:47,LEFT,DISTRACTED
20:18:47,LEFT,DISTRACTED
20:18:47,LEFT,DISTRACTED
20:18:47,CENTER,ATTENTIVE
20:18:47,CENTER,ATTENTIVE
20:18:47,LEFT,DISTRACTED
20:18:47,CENTER,ATTENTIVE
20:18:47,LEFT,DISTRACTED
20:18:47,CENTER,ATTENTIVE
20:18:47,LEFT,DISTRACTED
20:18:47,CENTER,ATTENTIVE
20:18:47,LEFT,DISTRACTED
20:18:47,LEFT,DISTRACTED
20:18:47,LEFT,DISTRACTED
20:18:47,LEFT,DISTRACTED
20:18:47,LEFT,DISTRACTED
20:18:47,CENTER,ATTENTIVE
20:18:47,CENTER,ATTENTIVE
20:18:47,CENTER,ATTENTIVE
20:18:48,CENTER,ATTENTIVE
20:18:48,CENTER,ATTENTIVE
20:18:48,CENTER,ATTENTIVE
20:18:48,LEFT,DISTRACTED
20:18:48,CENTER,ATTENTIVE
20:18:48,LEFT,DISTRACTED
20:18:48,LEFT,DISTRACTED
20:18:48,LEFT,DISTRACTED
20:18:48,LEFT,DISTRACTED
20:18:48,CENTER,ATTENTIVE
20:18:48,LEFT,DISTRACTED
20:18:48,CENTER,ATTENTIVE
20:18:48,CENTER,ATTENTIVE
20:18:48,CENTER,ATTENTIVE
20:18:48,CENTER,ATTENTIVE
20:18:48,CENTER,ATTENTIVE
20:18:48,CENTER,ATTENTIVE
20:18:48,CENTER,ATTENTIVE
20:18:48,CENTER,ATTENTIVE
20:18:48,CENTER,ATTENTIVE
20:18:48,CENTER,ATTENTIVE
20:18:48,CENTER,ATTENTIVE
20:18:48,CENTER,ATTENTIVE
20:18:48,CENTER,ATTENTIVE
20:18:48,CENTER,ATTENTIVE
20:18:48,CENTER,ATTENTIVE
20:18:48,CENTER,ATTENTIVE
20:18:48,CENTER,ATTENTIVE
20:18:48,CENTER,ATTENTIVE
20:18:48,CENTER,ATTENTIVE
20:18:49,CENTER,ATTENTIVE
20:18:49,CENTER,ATTENTIVE
20:18:49,CENTER,ATTENTIVE
20:18:49,CENTER,ATTENTIVE
20:18:49,CENTER,ATTENTIVE
20:18:49,CENTER,ATTENTIVE
20:18:49,LEFT,DISTRACTED
20:18:49,LEFT,DISTRACTED
20:18:49,CENTER,ATTENTIVE
20:18:49,CENTER,ATTENTIVE
20:18:49,LEFT,DISTRACTED
20:18:49,LEFT,DISTRACTED
20:18:49,LEFT,DISTRACTED
20:18:49,CENTER,ATTENTIVE
20:18:49,CENTER,ATTENTIVE
20:18:49,CENTER,ATTENTIVE
20:18:49,CENTER,ATTENTIVE
20:18:49,CENTER,ATTENTIVE
20:18:49,CENTER,ATTENTIVE
20:18:49,CENTER,ATTENTIVE
20:18:49,CENTER,ATTENTIVE
20:18:49,CENTER,ATTENTIVE
20:18:49,CENTER,ATTENTIVE
20:18:49,CENTER,ATTENTIVE
20:18:49,CENTER,ATTENTIVE
20:18:49,CENTER,ATTENTIVE
20:18:49,CENTER,ATTENTIVE
20:18:49,CENTER,ATTENTIVE
20:18:49,CENTER,ATTENTIVE
20:18:50,CENTER,ATTENTIVE
20:18:50,CENTER,ATTENTIVE
20:18:50,CENTER,ATTENTIVE
20:18:50,CENTER,ATTENTIVE
20:18:50,CENTER,ATTENTIVE
20:18:50,CENTER,ATTENTIVE
20:18:50,CENTER,ATTENTIVE
20:18:50,CENTER,ATTENTIVE
20:18:50,CENTER,ATTENTIVE
20:18:50,CENTER,ATTENTIVE
20:18:50,CENTER,ATTENTIVE
20:18:50,CENTER,ATTENTIVE
20:18:50,CENTER,ATTENTIVE
20:18:50,CENTER,ATTENTIVE
20:18:50,CENTER,ATTENTIVE
20:18:50,CENTER,ATTENTIVE
20:18:50,CENTER,ATTENTIVE
20:18:50,CENTER,ATTENTIVE
20:18:50,CENTER,ATTENTIVE
20:18:50,CENTER,ATTENTIVE
20:18:50,CENTER,ATTENTIVE
20:18:50,CENTER,ATTENTIVE
20:18:50,CENTER,ATTENTIVE
20:18:50,CENTER,ATTENTIVE
20:18:50,CENTER,ATTENTIVE
20:18:50,CENTER,ATTENTIVE
20:18:50,CENTER,ATTENTIVE
20:18:50,CENTER,ATTENTIVE
20:18:50,CENTER,ATTENTIVE
20:18:50,CENTER,ATTENTIVE
20:18:51,CENTER,ATTENTIVE
20:18:51,LEFT,DISTRACTED
20:18:51,LEFT,DISTRACTED
20:18:51,LEFT,DISTRACTED
20:18:51,CENTER,ATTENTIVE
20:18:51,CENTER,ATTENTIVE
20:18:51,LEFT,DISTRACTED
20:18:51,LEFT,DISTRACTED
20:18:51,LEFT,DISTRACTED
20:18:51,LEFT,DISTRACTED
20:18:51,LEFT,DISTRACTED
20:18:51,CENTER,ATTENTIVE
20:18:51,LEFT,DISTRACTED
20:18:51,LEFT,DISTRACTED
20:18:51,LEFT,DISTRACTED
20:18:51,CENTER,ATTENTIVE
20:18:51,CENTER,ATTENTIVE
20:18:51,CENTER,ATTENTIVE
20:18:51,CENTER,ATTENTIVE
20:18:51,CENTER,ATTENTIVE
20:18:51,CENTER,ATTENTIVE
20:18:51,CENTER,ATTENTIVE
20:18:51,CENTER,ATTENTIVE
20:18:51,CENTER,ATTENTIVE
20:18:51,CENTER,ATTENTIVE
20:18:51,CENTER,ATTENTIVE
20:18:51,CENTER,ATTENTIVE
20:18:51,CENTER,ATTENTIVE
20:18:51,CENTER,ATTENTIVE
20:18:52,CENTER,ATTENTIVE
20:18:52,CENTER,ATTENTIVE
20:18:52,CENTER,ATTENTIVE
20:18:52,CENTER,ATTENTIVE
20:18:52,CENTER,ATTENTIVE
20:18:52,CENTER,ATTENTIVE
20:18:52,CENTER,ATTENTIVE
20:18:52,CENTER,ATTENTIVE
20:18:52,CENTER,ATTENTIVE
20:18:52,CENTER,ATTENTIVE
20:18:52,CENTER,ATTENTIVE
20:18:52,CENTER,ATTENTIVE
20:18:52,CENTER,ATTENTIVE
20:18:52,CENTER,ATTENTIVE
20:18:52,CENTER,ATTENTIVE
20:18:52,CENTER,ATTENTIVE
20:18:52,CENTER,ATTENTIVE
20:18:52,CENTER,ATTENTIVE
20:18:52,CENTER,ATTENTIVE
20:18:52,LEFT,DISTRACTED
20:18:52,CENTER,ATTENTIVE
20:18:52,CENTER,ATTENTIVE
20:18:52,LEFT,DISTRACTED
20:18:52,LEFT,DISTRACTED
20:18:52,LEFT,DISTRACTED
20:18:52,LEFT,DISTRACTED
20:18:52,LEFT,DISTRACTED
20:18:52,LEFT,DISTRACTED
20:18:52,LEFT,DISTRACTED
20:18:52,LEFT,DISTRACTED
20:18:53,LEFT,DISTRACTED
20:18:53,LEFT,DISTRACTED
20:18:53,LEFT,DISTRACTED
20:18:53,LEFT,DISTRACTED
20:18:53,LEFT,DISTRACTED
20:18:53,LEFT,DISTRACTED
20:18:53,LEFT,DISTRACTED
20:18:53,LEFT,DISTRACTED
20:18:53,LEFT,DISTRACTED
20:18:53,LEFT,DISTRACTED
20:18:53,LEFT,DISTRACTED
20:18:53,LEFT,DISTRACTED
20:18:53,LEFT,DISTRACTED
20:18:53,LEFT,DISTRACTED
20:18:53,CENTER,ATTENTIVE
20:18:53,RIGHT,DISTRACTED
20:18:53,RIGHT,DISTRACTED
20:18:53,RIGHT,DISTRACTED
20:18:53,RIGHT,DISTRACTED
20:18:53,RIGHT,DISTRACTED
20:18:53,RIGHT,DISTRACTED
20:18:53,RIGHT,DISTRACTED
20:18:53,RIGHT,DISTRACTED
20:18:53,RIGHT,DISTRACTED
20:18:53,RIGHT,DISTRACTED
20:18:53,RIGHT,DISTRACTED
20:18:53,RIGHT,DISTRACTED
20:18:53,RIGHT,DISTRACTED
20:18:53,RIGHT,DISTRACTED
20:18:54,RIGHT,DISTRACTED
20:18:54,CENTER,ATTENTIVE
20:18:54,LEFT,DISTRACTED
20:18:54,LEFT,DISTRACTED
20:18:54,LEFT,DISTRACTED
20:18:54,LEFT,DISTRACTED
