Timestamp,Gaze Direction,Attention State
20:12:33,CENTER,ATTENTIVE
20:12:33,LEFT,DISTRACTED
20:12:33,CENTER,ATTENTIVE
20:12:33,CENTER,ATTENTIVE
20:12:34,CENTER,ATTENTIVE
20:12:34,CENTER,ATTENTIVE
20:12:34,CENTER,ATTENTIVE
20:12:34,CENTER,ATTENTIVE
20:12:34,CENTER,ATTENTIVE
20:12:34,LEFT,DISTRACTED
20:12:34,LEFT,DISTRACTED
20:12:34,LEFT,DISTRACTED
20:12:34,LEFT,DISTRACTED
20:12:34,LEFT,DISTRACTED
20:12:34,LEFT,DISTRACTED
20:12:34,CENTER,ATTENTIVE
20:12:34,LEFT,DISTRACTED
20:12:34,CENTER,ATTENTIVE
20:12:34,LEFT,DISTRACTED
20:12:34,LEFT,DISTRACTED
20:12:34,LEFT,DISTRACTED
20:12:34,LEFT,DISTRACTED
20:12:35,LEFT,DISTRACTED
20:12:35,LEFT,DISTRACTED
20:12:35,LEFT,DISTRACTED
20:12:35,LEFT,DISTRACTED
20:12:35,CENTER,ATTENTIVE
20:12:35,LEFT,DISTRACTED
20:12:35,LEFT,DISTRACTED
20:12:35,LEFT,DISTRACTED
20:12:35,LEFT,DISTRACTED
20:12:35,CENTER,ATTENTIVE
20:12:35,LEFT,DISTRACTED
20:12:35,CENTER,ATTENTIVE
20:12:35,CENTER,ATTENTIVE
20:12:35,LEFT,DISTRACTED
20:12:35,LEFT,DISTRACTED
20:12:35,LEFT,DISTRACTED
20:12:35,LEFT,DISTRACTED
20:12:35,LEFT,DISTRACTED
20:12:35,LEFT,DISTRACTED
20:12:35,LEFT,DISTRACTED
20:12:35,LEFT,DISTRACTED
20:12:35,CENTER,ATTENTIVE
20:12:35,LEFT,DISTRACTED
20:12:35,LEFT,DISTRACTED
20:12:36,CENTER,ATTENTIVE
20:12:36,LEFT,DISTRACTED
20:12:36,CENTER,ATTENTIVE
20:12:36,CENTER,ATTENTIVE
20:12:36,LEFT,DISTRACTED
20:12:36,LEFT,DISTRACTED
20:12:36,CENTER,ATTENTIVE
20:12:36,CENTER,ATTENTIVE
20:12:36,CENTER,ATTENTIVE
20:12:36,LEFT,DISTRACTED
20:12:36,LEFT,DISTRACTED
20:12:36,LEFT,DISTRACTED
20:12:36,LEFT,DISTRACTED
20:12:36,LEFT,DISTRACTED
20:12:36,LEFT,DISTRACTED
20:12:36,LEFT,DISTRACTED
20:12:36,LEFT,DISTRACTED
20:12:36,LEFT,DISTRACTED
20:12:36,LEFT,DISTRACTED
20:12:36,CENTER,ATTENTIVE
20:12:36,CENTER,ATTENTIVE
20:12:36,CENTER,ATTENTIVE
20:12:36,CENTER,ATTENTIVE
20:12:37,LEFT,DISTRACTED
20:12:37,LEFT,DISTRACTED
20:12:37,CENTER,ATTENTIVE
20:12:37,RIGHT,DISTRACTED
20:12:37,RIGHT,DISTRACTED
20:12:37,RIGHT,DISTRACTED
20:12:37,RIGHT,DISTRACTED
20:12:37,CENTER,ATTENTIVE
20:12:37,CENTER,ATTENTIVE
20:12:37,CENTER,ATTENTIVE
20:12:37,RIGHT,DISTRACTED
20:12:37,RIGHT,DISTRACTED
20:12:37,RIGHT,DISTRACTED
20:12:37,RIGHT,DISTRACTED
20:12:37,RIGHT,DISTRACTED
20:12:37,RIGHT,DISTRACTED
20:12:37,RIGHT,DISTRACTED
20:12:37,RIGHT,DISTRACTED
20:12:38,RIGHT,DISTRACTED
20:12:38,RIGHT,DISTRACTED
20:12:38,RIGHT,DISTRACTED
20:12:38,RIGHT,DISTRACTED
20:12:38,RIGHT,DISTRACTED
20:12:38,RIGHT,DISTRACTED
20:12:38,RIGHT,DISTRACTED
20:12:38,RIGHT,DISTRACTED
20:12:38,RIGHT,DISTRACTED
20:12:38,RIGHT,DISTRACTED
20:12:38,RIGHT,DISTRACTED
20:12:38,CENTER,ATTENTIVE
20:12:38,CENTER,ATTENTIVE
20:12:38,CENTER,ATTENTIVE
20:12:38,CENTER,ATTENTIVE
20:12:38,LEFT,DISTRACTED
20:12:38,LEFT,DISTRACTED
20:12:38,CENTER,ATTENTIVE
20:12:38,LEFT,DISTRACTED
20:12:38,CENTER,ATTENTIVE
20:12:38,RIGHT,DISTRACTED
20:12:38,RIGHT,DISTRACTED
20:12:39,RIGHT,DISTRACTED
20:12:39,RIGHT,DISTRACTED
20:12:39,LEFT,DISTRACTED
20:12:39,CENTER,ATTENTIVE
20:12:39,LEFT,DISTRACTED
20:12:39,RIGHT,DISTRACTED
20:12:39,RIGHT,DISTRACTED
20:12:39,RIGHT,DISTRACTED
20:12:39,RIGHT,DISTRACTED
20:12:39,RIGHT,DISTRACTED
20:12:39,RIGHT,DISTRACTED
20:12:39,RIGHT,DISTRACTED
20:12:39,RIGHT,DISTRACTED
20:12:39,RIGHT,DISTRACTED
20:12:39,RIGHT,DISTRACTED
20:12:39,RIGHT,DISTRACTED
20:12:39,RIGHT,DISTRACTED
20:12:39,RIGHT,DISTRACTED
20:12:39,RIGHT,DISTRACTED
20:12:39,RIGHT,DISTRACTED
20:12:39,LEFT,DISTRACTED
20:12:39,LEFT,DISTRACTED
20:12:39,CENTER,ATTENTIVE
20:12:40,CENTER,ATTENTIVE
20:12:40,CENTER,ATTENTIVE
20:12:40,LEFT,DISTRACTED
20:12:40,CENTER,ATTENTIVE
20:12:40,CENTER,ATTENTIVE
20:12:40,CENTER,ATTENTIVE
20:12:40,LEFT,DISTRACTED
20:12:40,LEFT,DISTRACTED
20:12:40,CENTER,ATTENTIVE
20:12:40,CENTER,ATTENTIVE
20:12:40,CENTER,ATTENTIVE
20:12:40,CENTER,ATTENTIVE
20:12:40,CENTER,ATTENTIVE
20:12:40,CENTER,ATTENTIVE
20:12:40,CENTER,ATTENTIVE
20:12:40,LEFT,DISTRACTED
20:12:40,LEFT,DISTRACTED
20:12:40,LEFT,DISTRACTED
20:12:40,LEFT,DISTRACTED
20:12:40,LEFT,DISTRACTED
20:12:40,LEFT,DISTRACTED
20:12:40,LEFT,DISTRACTED
20:12:40,LEFT,DISTRACTED
20:12:40,LEFT,DISTRACTED
20:12:40,LEFT,DISTRACTED
20:12:40,LEFT,DISTRACTED
20:12:41,LEFT,DISTRACTED
20:12:41,LEFT,DISTRACTED
20:12:41,LEFT,DISTRACTED
20:12:41,LEFT,DISTRACTED
20:12:41,LEFT,DISTRACTED
20:12:41,CENTER,ATTENTIVE
20:12:42,RIGHT,DISTRACTED
